company_name,city,region,nace_section,founded_year,employees_2021,employees_2022,employees_2023,employees_2024,growth_2022,growth_2023,growth_2024,aagr_2024,high_growth_classification
OMV AKTIENGESELLSCHAFT,WIEN,Wien,C - Manufacturing,1970.0,22434.0,22308.0,20592.0,23557.0,-0.00561647499331372,-0.07692307692307693,0.14398795648795648,0.016415054213749558,0
OMV GAS MARKETING & TRADING GMBH,WIEN,Wien,"D - Electricity, gas, steam and air conditioning supply",1970.0,148.0,108.0,108.0,121.0,-0.2702702702702703,0.0,0.12037037037037036,-0.06493625547596571,0
STRABAG SE,VILLACH,Karnten,F - Construction,1970.0,73606.0,73740.0,77136.0,78174.0,0.0018205037632801674,0.046053702196908054,0.013456751711263223,0.020272949552891273,0
VOESTALPINE AG,LINZ,Oberosterreich,C - Manufacturing,1970.0,48307.0,49633.0,50595.0,49298.0,0.02744943796965243,0.019382265831201017,-0.025634944164443126,0.006791973065142232,0
OESTERREICHISCHE BUNDESBAHNEN-HOLDING AKTIENGESELLSCHAFT,WIEN,Wien,K - Financial and insurance activities,1970.0,41898.0,42603.0,43061.0,45000.0,0.0168265788343119,0.01075041663732601,0.04502914470170224,0.024093808440041498,0
VERBUND ENERGY4BUSINESS GMBH,WIEN,Wien,"D - Electricity, gas, steam and air conditioning supply",1970.0,165.0,180.0,185.0,188.0,0.09090909090909091,0.027777777777777776,0.016216216216216217,0.04445877192180436,0
RAIFFEISEN BANK INTERNATIONAL AG,WIEN,Wien,K - Financial and insurance activities,1970.0,46185.0,44414.0,44887.0,42564.0,-0.038345783262964166,0.01064979510965011,-0.0517521776906454,-0.0268484123318673,0
ANDRITZ AG,GRAZ,Steiermark,C - Manufacturing,1970.0,26804.0,29094.0,29717.0,30003.0,0.08543500970004476,0.021413349831580393,0.009624120873574048,0.03829721928741425,0
VERBUND AG,,,"D - Electricity, gas, steam and air conditioning supply",1970.0,3497.0,3712.0,4095.0,4424.0,0.06148126965970832,0.10317887931034483,0.08034188034188035,0.0815331329470863,0
SPAR OESTERREICHISCHE WARENHANDELS-AKTIENGESELLSCHAFT,SALZBURG,Salzburg,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1970.0,27400.0,29371.0,29400.0,29820.0,0.07193430656934306,0.000987368492730925,0.014285714285714285,0.02861382888846431,0
OMV DOWNSTREAM GMBH,WIEN,Wien,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1970.0,1478.0,1480.0,1515.0,1545.0,0.0013531799729364006,0.02364864864864865,0.019801980198019802,0.014887764238338264,0
BILLA AKTIENGESELLSCHAFT,WIENER NEUDORF,Niederosterreich,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1970.0,31000.0,30415.0,30500.0,30500.0,-0.018870967741935484,0.00279467368074963,0.0,-0.0054055109861788075,0
REWE INTERNATIONAL LAGER- UND TRANSPORTGESELLSCHAFT M.B.H.,WIENER NEUDORF,Niederosterreich,H - Transportation and storage,1970.0,3850.0,3646.0,3630.0,3630.0,-0.052987012987012985,-0.004388370817334065,0.0,-0.01942240669193296,0
TELEKOM AUSTRIA AG,WIEN,Wien,J - Information and communication,1970.0,17856.0,17906.0,17508.0,17298.0,0.002800179211469534,-0.02222718641796046,-0.011994516792323509,-0.01052709757989867,0
INFINEON TECHNOLOGIES AUSTRIA AG,VILLACH,Karnten,"M - Professional, scientific and technical activities",1970.0,4134.0,4676.0,4676.0,5349.0,0.13110788582486696,0.0,0.14392643284858853,0.08968433723240143,0
B & C HOLDING OESTERREICH GMBH,WIEN,Wien,"M - Professional, scientific and technical activities",1970.0,16761.0,14750.0,14668.0,14047.0,-0.11998090806037826,-0.005559322033898305,-0.042337060267248434,-0.057181956375077725,0
VOESTALPINE STAHL GMBH,LINZ,Oberosterreich,C - Manufacturing,1970.0,6901.0,6975.0,7233.0,7427.0,0.01072308361107086,0.036989247311827955,0.026821512512097332,0.02478745148538497,0
SAPPI PAPIER HOLDING GMBH,GRATKORN,Steiermark,K - Financial and insurance activities,,7705.0,7767.0,7641.0,6690.0,0.008046722907203116,-0.016222479721900347,-0.12446014919513153,-0.0459938854860692,0
WIENERBERGER AG,WIEN,Wien,C - Manufacturing,1970.0,17624.0,19078.0,18913.0,20462.0,0.08250113481615978,-0.008648705315022539,0.08190133770422461,0.05102859539171822,0
BMW MOTOREN GMBH,STEYR,Oberosterreich,C - Manufacturing,1970.0,4000.0,3450.0,3439.0,4700.0,-0.1375,-0.003188405797101449,0.3666763594068043,0.05522714724507494,0
OEBB-INFRASTRUKTUR AKTIENGESELLSCHAFT,WIEN,Wien,"M - Professional, scientific and technical activities",1970.0,16912.0,16876.0,16978.0,17351.0,-0.0021286660359508044,0.006044086276368808,0.021969607727647545,0.008578826517775529,0
MAYR-MELNHOF KARTON AG,WIEN,Wien,C - Manufacturing,1970.0,12492.0,15640.0,15087.0,14710.0,0.2520012808197246,-0.03535805626598466,-0.024988400609796513,0.055991037885817496,0
EVN AG,MARIA ENZERSDORF,Niederosterreich,"D - Electricity, gas, steam and air conditioning supply",1970.0,7126.0,7135.0,7255.0,7568.0,0.0012629806342969408,0.016818500350385426,0.04314266023432116,0.020262133787937397,0
PORSCHE AUSTRIA GESELLSCHAFT M.B.H. & CO. OG,SALZBURG,Salzburg,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1970.0,385.0,358.0,373.0,383.0,-0.07012987012987013,0.04189944134078212,0.02680965147453083,-0.0017346088597618436,0
AGRANA BETEILIGUNGS-AKTIENGESELLSCHAFT,WIEN,Wien,C - Manufacturing,1970.0,8375.0,8448.0,9258.0,9077.0,0.008716417910447761,0.09588068181818182,-0.019550658889608986,0.027194077172521425,0
