region,total_firms,classified_firms,high_growth_firms,mean_aagr,high_growth_share
Wien,10066,3108,371,0.06744655584310473,0.11936936936936937
Oberosterreich,7884,3896,404,0.046619559443437694,0.10369609856262833
Niederosterreich,7118,3047,296,0.03500531837961614,0.0971447325237939
Steiermark,5966,2455,255,0.03812077950744664,0.10386965376782077
Tirol,4630,1794,153,0.02931045360454825,0.08528428093645485
Salzburg,3935,1711,178,0.026416357652706557,0.10403272939801286
Karnten,2691,1108,100,0.052083229861566605,0.09025270758122744
Vorarlberg,2290,916,68,0.03339584538327418,0.07423580786026202
Burgenland,1248,505,51,0.03837831729336853,0.100990099009901
,257,89,7,0.01615274818227398,0.07865168539325842
